st_id,st_tui_math1,st_tui_hindi1,st_tui_other1,st_tui_math_hrs1,ts_grade1,tot_hindi1,tot_math1,per_math1,per_hindi1,m_theta_eap1,m_theta_mle1,h_theta_eap1,h_theta_mle1,any_tuition1,quint_math1,quint_hindi1,terc_math1,terc_hindi1,st_tui_math2,st_tui_hindi2,st_tui_other2,st_tui_math_hrs2,ts_grade2,tot_hindi2,tot_math2,per_math2,per_hindi2,m_theta_eap2,m_theta_mle2,h_theta_eap2,h_theta_mle2,any_tuition2,ms_center1,st_age1,st_female1,st_grade1,treat,strata,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
TK178,0,0,1,,6-7,5,7,.2,.16666667,-.40896493,-.22827013,-1.5686592,-1.2361538,1,2,1,2,1,0,0,1,,4-7,16,22,.64705884,.53333336,1.137554,.9211235,-.12097254,-.050633375,1,Tekhand,10,0,6,1,19,.098186761,0,0,1,0,0,0
TK179,1,1,1,Less than 1 hour,8-9,15,15,.42857143,.5,.55448288,.41653582,.87579209,.77503264,1,3,4,2,3,1,0,0,1-2 hours,8-9,18,27,.77142859,.60000002,2.6009333,2.0396204,.59192234,.5364694,1,Tekhand,14,0,9,1,19,.79212183,0,0,0,0,0,1
TK180,1,1,0,Less than 1 hour,6-7,8,14,.40000001,.26666668,.46285731,.44657272,-1.5189556,-1.3498169,1,4,1,3,1,0,0,1,,4-7,14,12,.35294119,.46666667,-.61899632,-.38349673,-.36565709,-.24474284,1,Tekhand,14,0,7,1,12,-2.106704,0,0,0,1,0,0
TK181,1,1,1,1-2 hours,6-7,15,16,.45714286,.5,.81645328,.7559396,.23509292,.28241715,1,5,4,3,3,,,,,,,,,,,,,,,Tekhand,14,0,6,1,1,.92924875,0,0,1,0,0,0
TK182,0,0,0,,8-9,7,10,.2857143,.23333333,-.81496751,-.55103064,-1.0805426,-.94137704,0,1,1,1,1,0,0,1,,8-9,12,20,.5714286,.40000001,1.0297306,.85241908,-.22362837,-.11142968,1,Tekhand,13,0,8,1,19,-1.3373805,0,0,0,0,1,0
TK183,0,0,0,,6-7,20,10,.2857143,.66666669,.24553056,.31042325,1.1486292,.94888121,0,4,5,2,3,0,0,1,,4-7,21,15,.44117647,.69999999,.16908808,.25147089,.66397154,.60200071,1,Tekhand,13,1,7,0,14,.12410065,0,0,0,1,0,0
TK184,1,1,0,More than 4 hours,6-7,7,15,.42857143,.23333333,.48348546,.37820458,-1.2615982,-.98362201,1,4,1,3,1,0,0,1,,4-7,13,15,.44117647,.43333334,.22889666,.26384911,-.72628307,-.49433178,1,Tekhand,10,0,6,0,13,.59565228,0,0,1,0,0,0
TK185,0,1,0,,6-7,9,6,.17142858,.30000001,-1.918445,-2.9440162,-.7750054,-.53560859,1,1,2,1,2,0,0,1,,4-7,8,11,.32352942,.26666668,-1.3104397,-.96627772,-1.3199831,-1.0453584,1,Tekhand,10,0,6,1,12,-.5322324,0,0,1,0,0,0
TK186,1,1,1,1-2 hours,6-7,4,5,.14285715,.13333334,-.80506688,-.4872373,-1.5630523,-1.438242,1,2,1,1,1,1,0,0,1-2 hours,4-7,20,15,.44117647,.66666669,-.0066985064,.12622285,.8829565,.73952556,1,Tekhand,13,0,7,0,12,-2.265126,0,0,0,1,0,0
TK187,1,1,0,More than 4 hours,6-7,16,9,.25714287,.53333336,-.75454664,-.4663431,.32330391,.35428241,1,2,4,1,2,0,0,1,,4-7,14,12,.35294119,.46666667,.0028835407,.11802662,-.52863878,-.37097433,1,Tekhand,14,0,7,0,13,.59565228,0,0,0,1,0,0
TK188,1,1,0,More than 4 hours,8-9,11,12,.34285715,.36666667,.20827013,.13610815,-.055213969,-.015071807,1,4,3,3,2,0,1,0,,8-9,13,19,.54285717,.43333334,.90871698,.78143346,-.68693727,-.48095545,1,Tekhand,15,0,,1,13,1.6909915,,,,,,
TK189,1,1,0,More than 4 hours,6-7,6,10,.2857143,.2,-.44475418,-.25209999,-1.5013214,-1.2906371,1,2,1,1,1,0,0,1,,4-7,8,10,.29411766,.26666668,-.57629955,-.31948584,-1.3146477,-.99775976,1,Tekhand,11,1,6,0,19,-1.4011551,0,0,1,0,0,0
TK190,1,1,0,More than 4 hours,6-7,10,11,.31428573,.33333334,.2217266,.23365384,-.85575414,-.65023088,1,4,2,2,1,0,0,1,,4-7,17,17,.5,.56666666,.63522542,.56203407,.34523019,.34315735,1,Tekhand,10,1,6,1,19,-.63183159,0,0,1,0,0,0
TK191,0,0,1,,6-7,21,15,.42857143,.69999999,.50405723,.54225624,1.2083322,1.0133586,1,5,5,3,3,1,0,0,More than 4 hours,4-7,22,26,.7647059,.73333335,1.9899163,1.5545856,1.4163681,1.2281898,1,Tekhand,,0,6,1,12,-2.0105643,0,0,1,0,0,0
TK192,0,0,1,,6-7,13,9,.25714287,.43333334,-.67407793,-.39101586,-.73109287,-.56456369,1,2,2,1,1,0,0,1,,4-7,11,18,.52941179,.36666667,.94526052,.83762509,-1.3599315,-1.7423156,1,Tekhand,,0,7,1,12,-2.7798877,0,0,0,1,0,0
TK193,0,0,1,,6-7,12,11,.31428573,.40000001,-.24671818,-.18067671,-.6039142,-.37825239,1,2,3,2,2,0,0,1,,4-7,15,20,.58823532,.5,1.1133568,.86967629,-.10875974,-.041172147,1,Tekhand,13,0,6,0,12,-.55444062,0,0,1,0,0,0
TK194,0,0,1,,6-7,8,9,.25714287,.26666668,-1.1429682,-.81586277,-1.401304,-1.2223928,1,2,1,1,1,0,1,0,,4-7,12,14,.41176471,.40000001,-.14781715,-.02826035,-.81557077,-.57953811,1,Tekhand,12,0,6,1,12,-1.3373805,0,0,1,0,0,0
